TEMP,TSUSC,CSUSC,NSUSC,MASSS,FERRT,FERRM,TIME
33.2,2142,2311.12,0.966,4127,0,0,0
34.7,2142.3,2311.42,0.966,4127.5,0,0,27
41.5,2141.9,2311.13,0.966,4127,0,0,50
49.5,2141.3,2310.56,0.966,4126,0,0,73
57.3,2141,2310.27,0.966,4125.5,0,0,96
64.3,2140.1,2309.39,0.966,4123.9,0,0,120
71.4,2139,2308.31,0.965,4122,0,0,143
77.7,2138.3,2307.6,0.965,4120.7,0,0,166
82.9,2136.9,2306.23,0.964,4118.3,0,0,189
88.9,2135.6,2304.92,0.964,4115.9,0,0,213
93.7,2133.9,2303.22,0.963,4112.9,0,0,236
99.2,2132,2301.32,0.962,4109.5,0,0,259
104.5,2129.7,2299.02,0.961,4105.4,0,0,282
108.5,2128.3,2297.62,0.961,4102.9,0,0,306
113.2,2126.5,2295.82,0.96,4099.7,0,0,329
118.2,2124.4,2293.76,0.959,4096,0,0,352
122.8,2122,2291.38,0.958,4091.8,0,0,375
127.3,2120,2289.38,0.957,4088.2,0,0,399
131.5,2117.4,2286.8,0.956,4083.6,0,0,422
135.8,2114.7,2284.1,0.955,4078.8,0,0,445
140.6,2111.8,2281.2,0.954,4073.6,0,0,468
145.1,2108.8,2278.2,0.952,4068.2,0,0,491
150.2,2105.7,2275.13,0.951,4062.7,0,0,514
154.5,2102,2271.45,0.95,4056.2,0,0,537
158.5,2098.7,2268.14,0.948,4050.3,0,0,560
163.4,2095.6,2265.07,0.947,4044.8,0,0,584
167.4,2092.8,2262.29,0.946,4039.8,0,0,607
172.5,2089.1,2258.58,0.944,4033.2,0,0,630
177.1,2085.9,2255.38,0.943,4027.5,0,0,654
181.7,2083.4,2252.91,0.942,4023.1,0,0,677
186.6,2081.3,2250.84,0.941,4019.3,0,0,700
191.7,2079.8,2249.36,0.94,4016.7,0,0,723
196.9,2079.1,2248.64,0.94,4015.4,0,0,746
201,2078.4,2247.94,0.94,4014.2,0,0,770
206.7,2077.4,2246.94,0.939,4012.4,0,0,793
211.6,2076,2245.54,0.939,4009.9,0,0,816
216,2074.9,2244.46,0.938,4008,0,0,840
220.9,2073.2,2242.79,0.938,4005,0,0,863
225.6,2071.7,2241.28,0.937,4002.3,0,0,886
230.5,2070.2,2239.81,0.936,3999.7,0,0,909
235.7,2068.9,2238.5,0.936,3997.3,0,0,932
240.1,2067.8,2237.4,0.935,3995.4,0,0,955
245.1,2067.2,2236.8,0.935,3994.3,0,0,978
249.8,2066.9,2236.53,0.935,3993.8,0,0,1002
255.3,2066.8,2236.42,0.935,3993.6,0,0,1025
260,2067.2,2236.86,0.935,3994.4,0,0,1048
264.8,2067.5,2237.18,0.935,3995,0,0,1071
269.5,2067.7,2237.38,0.935,3995.3,0,0,1095
274.2,2067.4,2237.08,0.935,3994.8,0,0,1118
279,2067.6,2237.32,0.935,3995.2,0,0,1141
284.5,2067.2,2236.9,0.935,3994.5,0,0,1164
288.5,2066.7,2236.4,0.935,3993.6,0,0,1188
293.8,2066.1,2235.8,0.935,3992.5,0,0,1211
298,2065.4,2235.1,0.934,3991.3,0,0,1234
303,2065.2,2234.9,0.934,3990.9,0,0,1257
308.1,2064.7,2234.43,0.934,3990,0,0,1280
312.9,2064.5,2234.25,0.934,3989.7,0,0,1304
317.4,2064.4,2234.17,0.934,3989.6,0,0,1327
322.2,2064.3,2234.09,0.934,3989.4,0,0,1350
327,2064.4,2234.21,0.934,3989.7,0,0,1373
331.6,2064.6,2234.4,0.934,3990,0,0,1397
336.7,2065,2234.8,0.934,3990.7,0,0,1420
341.2,2065,2234.8,0.934,3990.7,0,0,1443
346.1,2065,2234.8,0.934,3990.7,0,0,1466
350.9,2065.6,2235.44,0.935,3991.8,0,0,1489
355.8,2065.5,2235.32,0.935,3991.6,0,0,1513
360.4,2065.7,2235.56,0.935,3992.1,0,0,1536
365,2065.9,2235.78,0.935,3992.5,0,0,1559
370.7,2066,2235.88,0.935,3992.6,0,0,1582
375.6,2066.3,2236.21,0.935,3993.2,0,0,1605
380.2,2066.7,2236.6,0.935,3993.9,0,0,1628
384.3,2067.7,2237.6,0.936,3995.7,0,0,1652
388.9,2068.4,2238.33,0.936,3997,0,0,1675
393.8,2069.2,2239.15,0.936,3998.5,0,0,1698
398.7,2070.3,2240.27,0.937,4000.5,0,0,1721
403.1,2071.9,2241.89,0.937,4003.4,0,0,1745
407.5,2073.2,2243.21,0.938,4005.7,0,0,1768
411.5,2075.3,2245.3,0.939,4009.5,0,0,1791
417.1,2078,2248,0.94,4014.3,0,0,1814
421.2,2081.6,2251.6,0.941,4020.7,0,0,1838
427.3,2086.2,2256.2,0.943,4028.9,0,0,1861
430.8,2092.2,2262.23,0.946,4039.7,0,0,1884
435.2,2100,2270.05,0.949,4053.7,0,0,1907
439.9,2110.1,2280.17,0.953,4071.7,0,0,1930
445,2121.1,2291.2,0.958,4091.4,0,0,1954
450,2133.5,2303.62,0.963,4113.6,0,0,1977
454.7,2147.9,2318.04,0.969,4139.4,0,0,2001
458.8,2161.3,2331.46,0.975,4163.3,0,0,2024
464.2,2174.4,2344.58,0.98,4186.8,0,0,2048
468.3,2186.3,2356.5,0.985,4208,0,0,2071
472.8,2196.7,2366.9,0.99,4226.6,0,0,2094
477.9,2205.6,2375.8,0.993,4242.5,0,0,2117
482.6,2212.7,2382.9,0.996,4255.2,0,0,2140
486.5,2217.2,2387.43,0.998,4263.3,0,0,2164
491.6,2220.9,2391.15,1,4269.9,0,0,2187
495.5,2221.6,2391.87,1,4271.2,0,0,2210
499.7,2219.4,2389.69,0.999,4267.3,0,0,2233
504.5,2215,2385.31,0.997,4259.5,0,0,2256
509.6,2210.5,2380.8,0.995,4251.4,0,0,2280
513.3,2203.8,2374.13,0.993,4239.5,0,0,2303
517.8,2196.5,2366.85,0.99,4226.5,0,0,2326
522.6,2185.3,2355.67,0.985,4206.6,0,0,2349
527.5,2170.6,2341.03,0.979,4180.4,0,0,2372
531.1,2156.2,2326.66,0.973,4154.8,0,0,2396
536,2138.2,2308.68,0.965,4122.6,0,0,2419
540,2118.3,2288.83,0.957,4087.2,0,0,2442
543.6,2093.8,2264.36,0.947,4043.5,0,0,2465
549.4,2061.6,2232.18,0.933,3986,0,0,2489
553.4,2025.5,2196.14,0.918,3921.7,0,0,2512
558,1988.9,2159.58,0.903,3856.4,0,0,2535
562.6,1947.4,2118.12,0.886,3782.4,0,0,2558
566.6,1905.5,2076.26,0.868,3707.6,0,0,2581
571.5,1859.6,2030.38,0.849,3625.7,0,0,2605
575.5,1808.5,1979.3,0.828,3534.5,0,0,2628
580.5,1757.6,1928.43,0.806,3443.6,0,0,2651
584.2,1712,1882.84,0.787,3362.2,0,0,2674
588.8,1670.5,1841.36,0.77,3288.1,0,0,2697
592.6,1634.1,1805.01,0.755,3223.2,0,0,2721
597.2,1597.3,1768.25,0.739,3157.6,0,0,2744
601.9,1553.3,1724.27,0.721,3079,0,0,2767
606.6,1500.6,1671.59,0.699,2985,0,0,2790
610.6,1441.3,1612.33,0.674,2879.2,0,0,2813
614.1,1383.8,1554.85,0.65,2776.5,0,0,2836
618.1,1339.1,1510.16,0.631,2696.7,0,0,2860
622.8,1302.7,1473.79,0.616,2631.8,0,0,2883
627.9,1271.7,1442.81,0.603,2576.4,0,0,2906
631.3,1245.9,1417.03,0.592,2530.4,0,0,2929
635.7,1221.9,1393.05,0.582,2487.6,0,0,2953
640.2,1200,1371.21,0.573,2448.6,0,0,2976
643.6,1178.7,1349.94,0.564,2410.6,0,0,2999
648.1,1157.9,1329.18,0.556,2373.5,0,0,3022
652.8,1139,1310.29,0.548,2339.8,0,0,3045
656.6,1122.2,1293.54,0.541,2309.9,0,0,3068
661.1,1107.7,1279.05,0.535,2284,0,0,3091
665.2,1094.2,1265.57,0.529,2260,0,0,3115
669.1,1081.4,1252.79,0.524,2237.1,0,0,3138
673.5,1069,1240.41,0.519,2215,0,0,3161
678.3,1056.5,1227.9,0.513,2192.7,0,0,3184
682.8,1044.7,1216.14,0.508,2171.7,0,0,3207
687.7,1033.2,1204.66,0.504,2151.2,0,0,3231
691.8,1022.2,1193.69,0.499,2131.6,0,0,3254
695.4,1010.7,1182.2,0.494,2111.1,0,0,3277
699.6,998.8,1170.3,0.489,2089.8,0,0,3300
702.8,987.1,1158.6,0.484,2068.9,0,0,3323
704.8,977,1148.5,0.48,2050.9,0,0,3346
702.8,968.6,1140.1,0.477,2035.9,0,0,3369
702.2,961.9,1133.4,0.474,2023.9,0,0,3392
699.6,956.2,1127.7,0.471,2013.8,0,0,3415
696,951,1122.47,0.469,2004.4,0,0,3438
693.8,946.8,1118.22,0.468,1996.8,0,0,3461
690.5,943,1114.41,0.466,1990,0,0,3484
687,939.2,1110.59,0.464,1983.2,0,0,3508
683.5,936.4,1107.76,0.463,1978.1,0,0,3531
679.9,933.6,1104.96,0.462,1973.1,0,0,3554
677.1,930.9,1102.26,0.461,1968.3,0,0,3577
672.9,928.3,1099.63,0.46,1963.6,0,0,3600
668.8,926.3,1097.58,0.459,1960,0,0,3623
665.6,924.3,1095.54,0.458,1956.3,0,0,3646
662.4,922.9,1094.15,0.457,1953.8,0,0,3670
657.9,921.4,1092.62,0.457,1951.1,0,0,3693
654.4,920.5,1091.7,0.456,1949.5,0,0,3716
650.6,919.8,1091,0.456,1948.2,0,0,3739
647.1,920,1091.18,0.456,1948.5,0,0,3762
643.6,920.4,1091.56,0.456,1949.2,0,0,3785
640.2,921.3,1092.44,0.457,1950.8,0,0,3808
635.4,922.6,1093.72,0.457,1953.1,0,0,3831
632.6,924.4,1095.48,0.458,1956.2,0,0,3854
628.8,929,1100.08,0.46,1964.4,0,0,3878
626.3,937.3,1108.36,0.463,1979.2,0,0,3901
621.6,956.9,1127.94,0.472,2014.2,0,0,3924
617.5,993.2,1164.19,0.487,2078.9,0,0,3947
614.1,1036.3,1207.28,0.505,2155.9,0,0,3970
609.1,1078.1,1249.02,0.522,2230.4,0,0,3993
605.6,1111.1,1282.01,0.536,2289.3,0,0,4016
601.9,1132.8,1303.69,0.545,2328,0,0,4039
598.5,1151.6,1322.5,0.553,2361.6,0,0,4062
595,1175.4,1346.3,0.563,2404.1,0,0,4085
589.5,1202,1372.86,0.574,2451.5,0,0,4108
586.7,1228.5,1399.35,0.585,2498.8,0,0,4132
582.6,1252.8,1423.63,0.595,2542.2,0,0,4155
578.3,1272.9,1443.71,0.604,2578,0,0,4178
574,1289,1459.75,0.61,2606.7,0,0,4201
570.6,1300.6,1471.35,0.615,2627.4,0,0,4224
566.6,1307.4,1478.12,0.618,2639.5,0,0,4247
562.9,1311.8,1482.5,0.62,2647.3,0,0,4270
558.3,1314.6,1485.26,0.621,2652.2,0,0,4293
555.8,1316.8,1487.45,0.622,2656.2,0,0,4316
550.3,1317.8,1488.42,0.622,2657.9,0,0,4339
546.7,1318.8,1489.4,0.623,2659.6,0,0,4362
541.8,1319.9,1490.48,0.623,2661.6,0,0,4385
538.1,1321.4,1491.96,0.624,2664.2,0,0,4408
533.9,1323.2,1493.74,0.625,2667.4,0,0,4431
530.5,1326,1496.52,0.626,2672.4,0,0,4455
525.7,1329.5,1500,0.627,2678.6,0,0,4478
520.8,1333.8,1504.27,0.629,2686.2,0,0,4501
517.5,1338.3,1508.76,0.631,2694.2,0,0,4524
513.3,1343,1513.43,0.633,2702.6,0,0,4547
509,1348.8,1519.22,0.635,2712.9,0,0,4570
504.2,1355.1,1525.46,0.638,2724,0,0,4593
500.6,1362.3,1532.66,0.641,2736.9,0,0,4616
495.8,1369.4,1539.73,0.644,2749.5,0,0,4640
491.6,1376.9,1547.21,0.647,2762.9,0,0,4663
487.7,1384.5,1554.79,0.65,2776.4,0,0,4686
483.2,1391.8,1562.1,0.653,2789.5,0,0,4709
478.5,1398.9,1569.17,0.656,2802.1,0,0,4732
473.7,1406.5,1576.74,0.659,2815.6,0,0,4755
469.8,1413.1,1583.33,0.662,2827.4,0,0,4778
465.1,1419.2,1589.4,0.665,2838.2,0,0,4801
461.2,1425,1595.19,0.667,2848.5,0,0,4825
456.5,1430.1,1600.28,0.669,2857.6,0,0,4848
452.3,1435.2,1605.36,0.671,2866.7,0,0,4871
447.3,1440.1,1610.24,0.673,2875.4,0,0,4894
442.6,1443.1,1613.22,0.674,2880.8,0,0,4918
438.5,1446.6,1616.7,0.676,2887,0,0,4941
433.8,1449.7,1619.78,0.677,2892.5,0,0,4964
430,1452.2,1622.28,0.678,2896.9,0,0,4987
424.7,1455.1,1625.16,0.679,2902.1,0,0,5010
419.7,1457.7,1627.74,0.681,2906.7,0,0,5033
415,1460.2,1630.21,0.682,2911.1,0,0,5057
410.7,1462.6,1632.62,0.683,2915.4,0,0,5080
406.3,1465.3,1635.3,0.684,2920.2,0,0,5102
401.9,1467.7,1637.7,0.685,2924.5,0,0,5125
397.9,1470.4,1640.4,0.686,2929.3,0,0,5148
392.9,1472.8,1642.8,0.687,2933.6,0,0,5171
388.6,1475.9,1645.87,0.688,2939.1,0,0,5194
383.7,1478.7,1648.65,0.689,2944,0,0,5218
379.3,1481.6,1651.53,0.69,2949.2,0,0,5241
374.4,1484.2,1654.11,0.692,2953.8,0,0,5264
369.8,1487.3,1657.19,0.693,2959.3,0,0,5287
364.7,1490.3,1660.2,0.694,2964.6,0,0,5310
360.4,1493.3,1663.2,0.695,2970,0,0,5333
355.8,1496.1,1666,0.697,2975,0,0,5356
350.9,1498.9,1668.76,0.698,2979.9,0,0,5379
346.1,1501.6,1671.44,0.699,2984.7,0,0,5403
341.5,1504.3,1674.12,0.7,2989.5,0,0,5426
336.7,1506.3,1676.1,0.701,2993,0,0,5449
331.9,1508.6,1678.4,0.702,2997.1,0,0,5472
327,1510.9,1680.7,0.703,3001.3,0,0,5495
321.9,1513.4,1683.2,0.704,3005.7,0,0,5518
317.1,1516.5,1686.27,0.705,3011.2,0,0,5541
312.9,1520,1689.76,0.706,3017.4,0,0,5565
308.1,1523.9,1693.63,0.708,3024.3,0,0,5588
303,1527.7,1697.44,0.71,3031.1,0,0,5611
298.5,1531.9,1701.61,0.711,3038.6,0,0,5634
293.8,1535.7,1705.42,0.713,3045.4,0,0,5657
287.6,1541.5,1711.22,0.715,3055.8,0,0,5681
283.4,1547,1716.72,0.718,3065.6,0,0,5704
278.7,1553,1722.69,0.72,3076.2,0,0,5727
273.9,1559.4,1729.1,0.723,3087.7,0,0,5750
269.2,1565.5,1735.16,0.725,3098.5,0,0,5773
263.9,1572.8,1742.44,0.728,3111.5,0,0,5797
259.2,1580.4,1750.02,0.732,3125,0,0,5820
254.2,1588.4,1758,0.735,3139.3,0,0,5843
249.2,1596.9,1766.5,0.739,3154.5,0,0,5866
244.5,1605.4,1775,0.742,3169.6,0,0,5889
239.6,1614.3,1783.87,0.746,3185.5,0,0,5912
235.5,1623.7,1793.26,0.75,3202.2,0,0,5935
230.2,1633,1802.53,0.754,3218.8,0,0,5958
225.3,1643.4,1812.91,0.758,3237.3,0,0,5982
220.9,1653.2,1822.69,0.762,3254.8,0,0,6005
216.3,1663.4,1832.9,0.766,3273,0,0,6029
211.3,1674.2,1843.7,0.771,3292.3,0,0,6052
206.2,1685.2,1854.7,0.775,3312,0,0,6075
201.5,1696.4,1865.86,0.78,3331.9,0,0,6098
197.2,1708.2,1877.64,0.785,3352.9,0,0,6121
192.3,1719.9,1889.32,0.79,3373.8,0,0,6144
187.4,1731.8,1901.2,0.795,3395,0,0,6167
182.8,1744.2,1913.6,0.8,3417.1,0,0,6190
178.5,1757,1926.4,0.805,3440,0,0,6213
173.3,1769.8,1939.2,0.811,3462.9,0,0,6236
168.8,1783.1,1952.5,0.816,3486.6,0,0,6259
164.2,1796.9,1966.27,0.822,3511.2,0,0,6283
159.6,1810.2,1979.55,0.828,3534.9,0,0,6306
155.1,1825.5,1994.83,0.834,3562.2,0,0,6329
150.2,1841.3,2010.61,0.841,3590.4,0,0,6352
146.2,1856.2,2025.49,0.847,3616.9,0,0,6375
141.9,1870.1,2039.4,0.853,3641.8,0,0,6398
137.1,1883.6,2052.9,0.858,3665.9,0,0,6421
132.6,1897.6,2066.9,0.864,3690.9,0,0,6444
128.6,1911.6,2080.9,0.87,3715.9,0,0,6467
124.1,1925,2094.3,0.876,3739.8,0,0,6490
119.8,1938,2107.3,0.881,3763,0,0,6514
116.1,1950.2,2119.5,0.886,3784.8,0,0,6537
112.2,1962.6,2131.9,0.891,3807,0,0,6560
107.9,1975.3,2144.58,0.897,3829.6,0,0,6583
103.7,1987.4,2156.66,0.902,3851.2,0,0,6606
100.5,1999.3,2168.54,0.907,3872.4,0,0,6629
96,2010.6,2179.81,0.911,3892.5,0,0,6652
92.4,2021.4,2190.59,0.916,3911.8,0,0,6675
88.7,2031.5,2200.73,0.92,3929.9,0,0,6698
85.5,2041.7,2210.95,0.924,3948.1,0,0,6721
81.9,2051.2,2220.47,0.928,3965.1,0,0,6744
78.4,2060,2229.29,0.932,3980.9,0,0,6767
75,2068.4,2237.72,0.936,3995.9,0,0,6790
72.2,2076.4,2245.7,0.939,4010.2,0,0,6813
69,2083.8,2253.1,0.942,4023.4,0,0,6836
66.2,2091,2260.3,0.945,4036.3,0,0,6859
63.8,2097.5,2266.8,0.948,4047.9,0,0,6882
60.9,2104.3,2273.57,0.951,4059.9,0,0,6905
58.1,2110.1,2279.35,0.953,4070.3,0,0,6928
55.7,2115.5,2284.76,0.955,4079.9,0,0,6951
53.1,2120.9,2290.16,0.957,4089.6,0,0,6974
51.1,2125,2294.32,0.959,4097,0,0,6998
49,2129.9,2299.24,0.961,4105.8,0,0,7021
47.7,2133.3,2302.65,0.963,4111.9,0,0,7044
45.6,2137.3,2306.64,0.964,4119,0,0,7067
44.3,2141,2310.34,0.966,4125.6,0,0,7091
43,2142.7,2311.98,0.967,4128.5,0,0,7114
41.7,2145.3,2314.6,0.968,4133.2,0,0,7137
40.4,2147.4,2316.7,0.969,4137,0,0,7160
39.6,2149,2318.3,0.969,4139.8,0,0,7183
